Name,URL
Bhaktapur Durbar Square,"https://www.google.com/maps/place/Bhaktapur+Durbar+Square/@27.67207,85.4257202,17z/data=!4m8!3m7!1s0x39eb1aafec32df31:0xdda339e731af9bfd!8m2!3d27.67207!4d85.4282951!9m1!1b1!16s%2Fm%2F0h1g9sk?hl=en&entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
Changu Narayan,Error
Nyatapola Temple,Error
Siddha Pokhari,Error
Thimi,Error
"Bhairavnath Temple, Bhaktapur",Error
"The Lion Gate, Bhaktapur","https://www.google.com/maps/place/Golden+Gate/@27.6721136,85.425799,17z/data=!4m7!3m6!1s0x39eb1aaf95b64785:0x609f229c02797571!8m2!3d27.6721136!4d85.4283739!10e1!16s%2Fg%2F1tffxxq7?hl=en&entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
Taleju Temple,"https://www.google.com/maps/place/Taleju+Bhawani+Temple/@27.7049154,85.3054718,17z/data=!4m7!3m6!1s0x39eb1856025cc86b:0x25c94a661e5bf981!8m2!3d27.7049154!4d85.3080467!10e1!16s%2Fg%2F1tdvhl5v?hl=en&entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
Shree Vishwokarma Agam Chhen,Error
Aadipadma Mahavihar,Error
Lokeshwor temple of Bhaktapur,Error
Indra Varna Mahavihar (Inabaha),Error
Mangal Dharmadweep Mahavihar (Jhaur Bahi),Error
Dipankar Mahavihar,"https://www.google.com/maps/place/Dipankar+Vihar/@27.674884,85.4317349,17z/data=!4m7!3m6!1s0x39eb1ab287908381:0x83b939d0e50891be!8m2!3d27.674884!4d85.4343098!10e1!16s%2Fg%2F1hm382rgq?hl=en&entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
Jayakriti Mahavihar (Thathu Bahi),Error
Chuma Ganesha Temple,Error
Salan Ganesh Dyo Chhen,Error
Aesamari Sattal of Taumadhi Square,"https://www.google.com/maps/place/Aesamari+Sattal/@27.67092,85.4265306,17z/data=!4m7!3m6!1s0x39eb1b82088c9995:0xc5a3ca48f6d867c8!8m2!3d27.67092!4d85.4291055!10e1!16s%2Fg%2F11rfdvylxd?hl=en&entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
Jetha Ganesh Temple,Error
Uma Maheshwor temple,"https://www.google.com/maps/place/Uma+Maheshwor+Temple/@27.679881,85.2720813,17z/data=!4m7!3m6!1s0x39eb180ad1600351:0xfe11614aefc9dd09!8m2!3d27.679881!4d85.2746562!10e1!16s%2Fg%2F1tjtgpd8?hl=en&entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
Bhajyapukhu of Bhaktapur,Error
Tripurasundari Dhungedhara (the stone conduit of Tripurasundari),Error
Jagannath temple of Tulachhen,Error
The image of Chatur Narayan,Error
Digu Bhairava Temple,Error
Bakhachhen Mahadev Temple and Siwa Ganesh temple,Error
Gunakriti Mahavihar,Error
Vishnu Kunda (Sungaa Pukhu),Error
Shree 3 Vishnu Bir mai Temple (Sungaa Dyo),Error
Thimi Layaku,Error
Ranipokhari of Bhaktapur,Error
Siddhi Ganesh Temple and Dyo Chhen,Error
Divyashwori temple,Error
Nil Barahi Temple,"https://www.google.com/maps/place/Nil+Barahi+Temple/@27.6993794,85.3943642,17z/data=!4m7!3m6!1s0x39eb1af8623fd56d:0x349d2e9b4e133a7f!8m2!3d27.6993794!4d85.3969391!10e1!16s%2Fg%2F1td0lf4x?hl=en&entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
Mahalaxmi temple of Bode,Error
Siddhi Kali Temple,"https://www.google.com/maps/place/Siddhikali+Temple/@27.6806137,85.380479,17z/data=!4m7!3m6!1s0x39eb1a69041b2049:0x235ba39d475628b6!8m2!3d27.6806137!4d85.3830539!10e1!16s%2Fg%2F11h9xhyytc?hl=en&entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
Wane Layaku,Error
Tribikram Narayan Temple,Error
Yetachapari,Error
Tadhuchhen Bahal,Error
"Wakupati Narayan Temple, Bhaktapur",Error
Annapurna ,Error
Nigoo pukhu(Dui pokhari),Error
Lokeshwor Temple (Hiranyavarna Mahavihar),Error
"Brass and Bronze museum of Bhaktapur, Nepal","https://www.google.com/maps/place/Brass+and+Bronze+Museum/@27.6735357,85.4330906,17z/data=!4m7!3m6!1s0x39eb1bf0722f9765:0xf62427656f6c73e4!8m2!3d27.6735357!4d85.4356655!10e1!16s%2Fg%2F11q28lqwf_?hl=en&entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
"Wood carving museum of Bhaktapur, Nepal","https://www.google.com/maps/place/Wood+Carving+Museum/@27.6733373,85.4328836,17z/data=!4m7!3m6!1s0x39eb1aad70064ddb:0x6fb10f307de1013f!8m2!3d27.6733373!4d85.4354585!10e1!16s%2Fg%2F11b6skzh8w?hl=en&entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
Sundhara,Error
Salan Ganesh Temple and the pond,Error
The existence of Laxmi Narayan temple in Dattatraya Square,Error
Bhimsen temple of Bhaktapur,Error
Til Madhav Narayan Temple,Error
Kileshwor Mahadev Temple,Error
Chinna Masta Temple,Error
Balkumari Temple of Thimi,"https://www.google.com/maps/place/Balkumari+Temple/@27.6758251,85.3827455,17z/data=!4m7!3m6!1s0x39eb1a6f705f59db:0x49d07a6a1874d353!8m2!3d27.6758251!4d85.3853204!10e1!16s%2Fg%2F1tcyq7hg?hl=en&entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
National Art Museum,"https://www.google.com/maps/place/National+Art+Museum/@27.6721934,85.4255757,17z/data=!4m7!3m6!1s0x39eb1aad707a772d:0x98b9ad54b98c046d!8m2!3d27.6721934!4d85.4281506!10e1!16s%2Fg%2F11b6xgqhfl?hl=en&entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
Badrinath temple,"https://www.google.com/maps/place/Shri+Badarinath+Dham/@30.7447782,79.488503,17z/data=!4m8!3m7!1s0x39a78c1fc736a8e5:0xb19c97240a0e94ef!8m2!3d30.7448079!4d79.4912552!9m1!1b1!16s%2Fm%2F026gvdv?hl=en&entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
Kedarnath temple,"https://www.google.com/maps/place/Shri+Kedarnath+Jyotirlinga+Temple/@30.7346267,79.0643194,17z/data=!4m8!3m7!1s0x39083ee08aa6b0b5:0xdbbdae8b9602ee02!8m2!3d30.7346267!4d79.0668943!9m1!1b1!16s%2Fm%2F026jlcg?hl=en&entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
Rameshwor temple,Error
Radhakrishna temple,Error
Jagannath temple,Error
Chyasalin mandap,"https://www.google.com/maps/place/Chyasilin+Mandap+(%E0%A4%9A%E0%A5%8D%E0%A4%AF%E0%A4%BE%E0%A4%B8%E0%A4%BF%E0%A4%B2%E0%A4%BF%E0%A4%82+%E0%A4%AE%E0%A4%A3%E0%A5%8D%E0%A4%A1%E0%A4%AA)/@27.6720729,85.4260213,17z/data=!4m7!3m6!1s0x39eb1aafbded31bd:0xbd83a5f846a74273!8m2!3d27.6720729!4d85.4285962!10e1!16s%2Fg%2F11hcfs7plm?hl=en&entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
Lanpadegal,Error
Silu Mahadev,Error
Taleju bell ( Tagoun Ghan),"https://www.google.com/maps/place/Taleju+Bell/@27.6729812,85.3223697,17z/data=!4m7!3m6!1s0x39eb19fe14622989:0x3f2eb410c8a0c8d!8m2!3d27.6729812!4d85.3249446!10e1!16s%2Fg%2F11frdz8ll7?hl=en&entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
Layekuhiti ( Sunken hiti),Error
Changu Narayan temple,"https://www.google.com/maps/place/Changu+Narayan+Temple/@27.7163249,85.4252472,17z/data=!4m7!3m6!1s0x39eb1b3748a001fb:0x69a05c6b246b6428!8m2!3d27.7163249!4d85.4278221!10e1!16s%2Fg%2F11y1g6592n?hl=en&entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
Bhairavanath temple,Error
Yakshyeshwor temple,Error
Dattatraya temple,Error
Siddhi Laxmi temple,Error
The most fascinating Statue of King Bhupatindra Malla,"https://www.google.com/maps/place/Statue+of+King+Bhupatindra+Malla/@27.6720189,85.4257732,17z/data=!4m7!3m6!1s0x39eb1aaf942a4105:0x97aeccd1ad30dfcc!8m2!3d27.6720189!4d85.4283481!10e1!16s%2Fg%2F1tptp08d?hl=en&entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
Nyatapola Temple,"https://www.google.com/maps/place/Nyatapola+Temple/@27.6713593,85.4267536,17z/data=!4m7!3m6!1s0x39eb1aafaf52a8d9:0x8552bfb072200f12!8m2!3d27.6713593!4d85.4293285!10e1!16s%2Fm%2F07kj101?hl=en&entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
Siddha Pokhari,Error
Ugrachandi,Error
Golden gate,Error
55 window palace,"https://www.google.com/maps/place/55+Window+Palace/@27.6721559,85.4260035,17z/data=!4m7!3m6!1s0x39eb1aafbe31d80b:0xf020d0bdb5f6687a!8m2!3d27.6721559!4d85.4285784!10e1!16s%2Fg%2F11c1t5d7nh?hl=en&entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
Vatsala Durga Temple,Error
Maligaun hiking trail,Error
"A short hike to Doleshwor Mahadev temple, Bhaktapur","https://www.google.com/maps/place/Doleshwar+Mahadev+Temple/@27.6388668,85.4358342,17z/data=!4m8!3m7!1s0x39eb102067c08f1d:0x53d813e833fbae4!8m2!3d27.6388668!4d85.4384091!9m1!1b1!16s%2Fm%2F0ll0t_h?hl=en&entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
Ranikot hike,Error
Stepping out from Nagarkot to Changunarayan,Error
Pilot Baba Hike,"https://www.google.com/maps/place/Pilot+Baba+Ashram/@27.6401489,85.4200842,17z/data=!4m7!3m6!1s0x39eb1017af41f153:0xa2f002c97871ccb9!8m2!3d27.6401489!4d85.4226591!10e1!16s%2Fg%2F12hlv64st?hl=en&entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
Betana Wetland,Error
wakupati narayan,Error
kushma Bungee ,Error
Gadhimai Temple,Error
Thupten Monastery ,Error
Bhadrakali Temple,Error
Kasthamandapa,Error
Dahare Deurali,Error
Bote Bora Pvt ltd ,Error
Davis Fall Pokhara,"https://www.google.com/maps/place/Devi%E2%80%99s+Fall+Pokhara/@28.1895642,83.9560888,17z/data=!4m7!3m6!1s0x399595134e82378f:0xb581716c3b162f6b!8m2!3d28.1895642!4d83.9586637!10e1!16s%2Fm%2F0gywxny?hl=en&entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
Shiva Statue,Error
RaniPokhari,Error
Taragaun Museum,"https://www.google.com/maps/place/Taragaon+Next/@27.720188,85.3536141,17z/data=!4m7!3m6!1s0x39eb1bd8464133c1:0x3a7e495388eda2a1!8m2!3d27.720188!4d85.356189!10e1!16s%2Fg%2F11b6lp39db?hl=en&entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
Muktinath Temple,"https://www.google.com/maps/place/Shree+Muktinath+Temple/@28.8166048,83.8701414,18z/data=!4m8!3m7!1s0x39be1420f935fa2f:0xb6f4363b17b0a97f!8m2!3d28.8169471!4d83.8717964!9m1!1b1!16zL20vMDZwX182?hl=en&entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
Gupteshwor Mahadev,Error
Hanuman Dhoka,"https://www.google.com/maps/place/Hanuman+Dhoka/@27.704272,85.3048421,17z/data=!4m7!3m6!1s0x39eb185619e147a5:0x5be3be61d1d41749!8m2!3d27.704272!4d85.307417!10e1!16s%2Fm%2F0bbzj25?hl=en&entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
Kakre Bihar,"https://www.google.com/maps/place/Kankre+Bihar+Surkhet/@28.5644175,81.6188279,17z/data=!4m7!3m6!1s0x39a285c5e6413069:0x88f815c1b28ab2d6!8m2!3d28.5644175!4d81.6214028!10e1!16s%2Fg%2F1tgnq1ly?hl=en&entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
Bish Hazari Lake,Error
kankalini Temple,Error
Sankata,Error
Baladhar Gupta Mahabihar,Error
Nava Durga Temple,"https://www.google.com/maps/place/Navadurga+Dyo+Chhen+Temple+%E0%A4%A8%E0%A4%B5%E0%A4%A6%E0%A5%81%E0%A4%B0%E0%A5%8D%E0%A4%97%E0%A4%BE+%E0%A4%A6%E0%A5%8D%E0%A4%AF%E0%A4%83+%E0%A4%9B%E0%A5%87%E0%A4%81/@27.6751675,85.4332019,17z/data=!4m7!3m6!1s0x39eb1ab2919a2d87:0xfae6beed082e892a!8m2!3d27.6751675!4d85.4357768!10e1!16s%2Fg%2F11crzv9sfc?hl=en&entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
Haleshi MahaDev,Error
kalika Bhagwati Temple,"https://www.google.com/maps/place/Kalika+Bhagwati+Temple,+Nepal/@28.2554203,83.6109879,17z/data=!4m7!3m6!1s0x3995e2180077cbe1:0xa1829da016da1401!8m2!3d28.2554203!4d83.6135628!10e1!16s%2Fg%2F11fj7m1gnf?hl=en&entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
Kalika Bhagwati Temple,"https://www.google.com/maps/place/Kalika+Bhagwati+Temple,+Nepal/@28.2554203,83.6109879,17z/data=!4m7!3m6!1s0x3995e2180077cbe1:0xa1829da016da1401!8m2!3d28.2554203!4d83.6135628!10e1!16s%2Fg%2F11fj7m1gnf?hl=en&entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
Budhasubba Temple,"https://www.google.com/maps/place/Budhasubba+Temple/@26.8232426,87.291046,17z/data=!4m7!3m6!1s0x39ef41798ff9d44d:0xc7ee029038b68f39!8m2!3d26.8232426!4d87.2936209!10e1!16s%2Fm%2F03clj95?hl=en&entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
Phewa Lake,"https://www.google.com/maps/place/Phewa+Lake/@28.2116264,83.9292059,14z/data=!4m7!3m6!1s0x39959520918498bb:0xfca6adfa336fd6c7!8m2!3d28.2153837!4d83.9453168!10e1!16s%2Fm%2F03m3_m_?hl=en&entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
Mahashila (Meldhunga),Error
Dharahara,Error
Rajdevi Mata Temple,Error
Shree Ram Mandir,Error
Thame Monastery ,Error
kailashnath Mahadev Statue,"https://www.google.com/maps/place/Kailashnath+Mahadev+Statue/@27.6460946,85.4716214,17z/data=!4m8!3m7!1s0x39eb0f753fffff8b:0xa7066333d51960b4!8m2!3d27.6460946!4d85.4741963!9m1!1b1!16s%2Fm%2F0j3gqrb?hl=en&entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
Bulbule Taal,Error
Jalapa Devi Temple,Error
Garden of Dreams ,"https://www.google.com/maps/place/Garden+of+Dreams/@27.7141261,85.3119292,17z/data=!4m8!3m7!1s0x39eb19028855e08b:0xf52bbdfaf2a1ae6a!8m2!3d27.7141261!4d85.3145041!9m1!1b1!16s%2Fm%2F0h7p_mr?hl=en&entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
Shani Mandir,Error
Mayurbarna Mahabihar,Error
Nepal Art Council ,"https://www.google.com/maps/place/Nepal+Art+Council/@27.6922589,85.321057,17z/data=!4m7!3m6!1s0x39eb19b072fbdd63:0xab78515baf0094e3!8m2!3d27.6922589!4d85.3236319!10e1!16s%2Fg%2F1hm24pb1m?hl=en&entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
Taleju Temple,"https://www.google.com/maps/place/Taleju+Bhawani+Temple/@27.7049154,85.3054718,17z/data=!4m7!3m6!1s0x39eb1856025cc86b:0x25c94a661e5bf981!8m2!3d27.7049154!4d85.3080467!10e1!16s%2Fg%2F1tdvhl5v?hl=en&entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
External Peace Flame,Error
Krishna Temple,Error
Umbrella Street,"https://www.google.com/maps/place/UMBRELLA+STREET,+PATIHANI/@27.5705854,84.3580679,17z/data=!4m7!3m6!1s0x3994f1434aabec65:0xdd65e9997f79f2f1!8m2!3d27.5705854!4d84.3606428!10e1!16s%2Fg%2F11fs7_vtns?hl=en&entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
Rudrabarna Mahabihar,Error
Jesthabarna Mahabihar,Error
Namobuddha Monastery,Error
Dharmakirti Mahabihar,Error
Kalinchowk Bhagawati Temple,Error
Panch Pokhari,Error
Bhootnath Mahadev Temple,Error
Gokarneshwor Mahadev Temple,Error
Bethanchok Narayansthan,Error
Siddhartha Art Gallery,"https://www.google.com/maps/place/Siddhartha+Art+Gallery/@27.6944534,85.3201214,17z/data=!4m7!3m6!1s0x39eb19afde183abb:0xfc8bec5839523db9!8m2!3d27.6944534!4d85.3226963!10e1!16s%2Fg%2F1tdpkhb4?hl=en&entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
Gosaikunda Lake,"https://www.google.com/maps/place/Gosainkunda/@28.0822914,85.4109926,17z/data=!4m7!3m6!1s0x39eaefb4ce7a5a77:0x169c2756b8837dea!8m2!3d28.0820059!4d85.414986!10e1!16zL20vMDR2MWNk?hl=en&entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
Diyalo Bangala,Error
Nuwakot Palace ,"https://www.google.com/maps/place/Nuwakot+Palace/@27.9137229,85.1620462,17z/data=!4m7!3m6!1s0x39ead96b9e58fdd3:0x9e1178fe821ca17e!8m2!3d27.9137229!4d85.1646211!10e1!16s%2Fg%2F1tpn0zsb?hl=en&entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
Nagarkot,Error
Siddhapokhari,Error
Pilot Baba Aashram,"https://www.google.com/maps/place/Pilot+Baba+Ashram/@27.6401489,85.4200842,17z/data=!4m7!3m6!1s0x39eb1017af41f153:0xa2f002c97871ccb9!8m2!3d27.6401489!4d85.4226591!10e1!16s%2Fg%2F12hlv64st?hl=en&entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
Pottery Square ,Error
Aakash Bhairab Mandir,Error
Manakamana Temple,Error
